product_id,product_name,category,quantity_sold,unit_price,transaction_date,store_id,store_location,inventory_level,reorder_point,reorder_quantity,supplier_id,supplier_lead_time,weather_conditions,holiday_indicator,weekday,stockout_indicator,forecasted_demand,actual_demand
843,Fridge,Electronics,3,188.46,3/31/2024 21:46,3,"Miami, FL",246,116,170,474,8,Stormy,FALSE,Friday,TRUE,172,179
135,TV,Electronics,4,1912.04,7/28/2024 12:45,5,"Dallas, TX",43,70,212,135,4,Rainy,FALSE,Monday,TRUE,109,484
391,Fridge,Electronics,4,1377.75,6/10/2024 4:55,1,"Los Angeles, CA",411,94,252,475,2,Sunny,FALSE,Tuesday,TRUE,289,416
710,Smartphone,Electronics,5,182.31,8/15/2024 1:03,5,"Miami, FL",452,87,112,118,7,Sunny,TRUE,Sunday,FALSE,174,446
116,Laptop,Electronics,3,499.28,9/13/2024 0:45,6,"Chicago, IL",412,99,177,155,4,Sunny,FALSE,Thursday,TRUE,287,469
630,Camera,Electronics,4,1465.38,7/6/2024 7:24,1,"New York, NY",196,80,210,169,4,Sunny,TRUE,Saturday,FALSE,294,265
238,Laptop,Appliances,3,1904.7,3/17/2024 22:33,3,"Dallas, TX",24,52,287,250,3,Sunny,FALSE,Sunday,TRUE,178,257
409,Tablet,Electronics,4,875.16,7/22/2024 13:57,16,"Los Angeles, CA",125,92,178,248,5,Rainy,TRUE,Thursday,TRUE,165,264
106,Camera,Electronics,4,1627.48,3/30/2024 4:10,12,"New York, NY",103,129,172,368,4,Sunny,TRUE,Saturday,TRUE,476,428
407,Laptop,Appliances,5,666.27,6/17/2024 16:59,10,"Chicago, IL",424,88,253,494,1,Sunny,TRUE,Monday,TRUE,395,400
327,Tablet,Electronics,3,155.24,4/3/2024 11:37,12,"Los Angeles, CA",377,135,167,104,9,Stormy,FALSE,Sunday,TRUE,303,181
319,Smartphone,Appliances,3,1076.79,6/19/2024 10:41,9,"Miami, FL",411,60,115,290,8,Cloudy,TRUE,Monday,TRUE,270,185
976,Headphones,Appliances,2,1165.56,3/1/2024 4:08,3,"New York, NY",346,144,297,300,3,Sunny,TRUE,Thursday,FALSE,141,127
422,Washing Machine,Appliances,3,778.17,6/24/2024 17:34,13,"Miami, FL",118,94,188,410,5,Rainy,TRUE,Thursday,FALSE,273,446
122,TV,Appliances,2,399.52,7/11/2024 11:58,9,"Los Angeles, CA",31,104,274,427,5,Stormy,FALSE,Saturday,TRUE,221,244
890,Camera,Appliances,4,639.33,5/2/2024 19:28,17,"Dallas, TX",258,113,239,252,8,Sunny,TRUE,Friday,FALSE,433,294
941,Laptop,Appliances,3,457.92,3/1/2024 14:26,16,"Miami, FL",417,65,116,165,9,Sunny,TRUE,Friday,FALSE,415,191
806,Laptop,Electronics,5,1201.92,6/26/2024 4:41,20,"New York, NY",191,58,184,153,4,Sunny,FALSE,Tuesday,TRUE,348,418
942,TV,Electronics,4,649.8,6/2/2024 20:20,5,"Miami, FL",149,108,125,157,10,Sunny,FALSE,Monday,TRUE,172,477
382,TV,Appliances,3,1155.98,7/21/2024 20:20,3,"Miami, FL",144,106,254,478,1,Rainy,FALSE,Thursday,TRUE,362,451
666,Headphones,Electronics,4,160.4,5/18/2024 14:04,2,"Los Angeles, CA",44,90,294,360,8,Sunny,FALSE,Saturday,TRUE,130,157
623,Smartphone,Electronics,4,781.98,2/6/2024 9:06,9,"Dallas, TX",270,76,157,346,2,Rainy,TRUE,Wednesday,TRUE,315,507
669,TV,Appliances,5,565.22,3/3/2024 11:00,13,"Chicago, IL",332,124,257,257,3,Sunny,FALSE,Monday,FALSE,434,364
684,Headphones,Electronics,5,1503.41,1/30/2024 9:19,14,"Chicago, IL",154,120,165,466,2,Stormy,TRUE,Tuesday,TRUE,146,330
685,Smartphone,Electronics,4,466.9,8/3/2024 4:57,5,"Dallas, TX",127,148,139,400,3,Rainy,TRUE,Friday,TRUE,280,506
258,Camera,Electronics,1,1376.02,7/17/2024 15:17,15,"Dallas, TX",214,142,226,434,6,Cloudy,FALSE,Tuesday,FALSE,392,369
196,TV,Appliances,4,673.75,4/15/2024 1:23,11,"Dallas, TX",334,150,243,110,8,Cloudy,FALSE,Wednesday,TRUE,483,445
138,Smartphone,Appliances,2,1880.99,7/27/2024 3:42,1,"Miami, FL",411,106,244,113,10,Stormy,FALSE,Wednesday,FALSE,495,153
571,TV,Electronics,3,1839.91,7/15/2024 17:29,4,"Miami, FL",442,71,123,243,9,Cloudy,TRUE,Monday,TRUE,154,128
464,Laptop,Electronics,2,1187.87,2/6/2024 6:57,12,"New York, NY",220,85,280,231,10,Stormy,FALSE,Tuesday,TRUE,297,306
259,Smartphone,Electronics,1,672.67,7/31/2024 10:27,6,"Chicago, IL",27,131,260,399,7,Rainy,FALSE,Monday,TRUE,386,156
241,Headphones,Electronics,2,947.46,6/13/2024 23:45,13,"Chicago, IL",340,90,118,135,10,Rainy,FALSE,Monday,FALSE,316,255
371,Tablet,Appliances,3,1166.71,5/2/2024 7:21,19,"New York, NY",92,120,259,127,2,Stormy,FALSE,Thursday,FALSE,312,415
475,Laptop,Electronics,3,1483.91,5/8/2024 9:01,15,"Los Angeles, CA",346,61,275,436,1,Stormy,FALSE,Sunday,FALSE,158,398
696,Smartphone,Electronics,3,1529.02,2/14/2024 7:00,9,"New York, NY",8,141,141,498,3,Cloudy,FALSE,Friday,FALSE,451,367
355,Fridge,Electronics,1,1868.19,8/28/2024 12:57,9,"New York, NY",322,125,211,470,5,Sunny,TRUE,Sunday,TRUE,165,421
338,Tablet,Electronics,5,1292.59,4/21/2024 7:24,6,"New York, NY",309,150,236,131,2,Stormy,FALSE,Saturday,TRUE,373,208
362,Camera,Appliances,1,1086.46,3/30/2024 22:38,2,"New York, NY",470,120,252,324,10,Stormy,FALSE,Thursday,FALSE,279,423
930,TV,Appliances,5,897.72,1/28/2024 23:03,8,"New York, NY",101,108,113,186,9,Rainy,TRUE,Tuesday,FALSE,441,481
407,Headphones,Appliances,3,1500.01,2/25/2024 2:52,13,"Dallas, TX",44,135,105,457,3,Stormy,FALSE,Monday,TRUE,290,505
194,Washing Machine,Electronics,5,635.67,6/1/2024 22:32,2,"Miami, FL",113,54,259,198,8,Rainy,TRUE,Monday,TRUE,449,385
684,TV,Appliances,3,1451.08,2/13/2024 13:55,16,"New York, NY",241,114,228,452,3,Sunny,TRUE,Friday,FALSE,472,142
509,Camera,Electronics,5,1182.44,4/11/2024 2:53,18,"Los Angeles, CA",466,135,209,136,5,Stormy,TRUE,Saturday,TRUE,129,201
682,Camera,Electronics,1,887.89,6/27/2024 11:57,11,"Los Angeles, CA",283,114,273,474,5,Rainy,TRUE,Thursday,TRUE,182,268
322,Smartphone,Electronics,3,807.27,3/6/2024 22:28,10,"Miami, FL",276,88,112,250,10,Cloudy,TRUE,Thursday,TRUE,389,119
851,Fridge,Appliances,2,289.96,4/26/2024 20:53,18,"New York, NY",24,50,263,391,6,Cloudy,FALSE,Saturday,TRUE,248,348
179,Tablet,Electronics,4,508.35,8/6/2024 5:40,7,"Los Angeles, CA",374,113,208,188,3,Cloudy,TRUE,Wednesday,TRUE,119,214
840,Tablet,Electronics,5,1768.16,9/6/2024 23:19,7,"Los Angeles, CA",81,92,233,115,1,Cloudy,TRUE,Wednesday,TRUE,311,170
432,Smartphone,Electronics,2,1441.29,6/21/2024 16:04,1,"Dallas, TX",350,141,118,245,8,Cloudy,TRUE,Sunday,TRUE,177,418
911,Smartphone,Appliances,3,1015.05,7/23/2024 5:50,19,"Dallas, TX",465,90,174,391,7,Stormy,TRUE,Wednesday,FALSE,484,192
594,TV,Appliances,3,1273.04,1/21/2024 5:04,12,"Chicago, IL",34,147,178,407,10,Sunny,FALSE,Monday,FALSE,422,490
277,TV,Electronics,5,1141.15,7/21/2024 23:28,17,"Los Angeles, CA",16,75,120,206,10,Stormy,FALSE,Wednesday,TRUE,357,164
599,Fridge,Appliances,4,822.18,5/25/2024 12:08,16,"Chicago, IL",297,138,209,108,2,Sunny,TRUE,Saturday,FALSE,411,206
945,Camera,Appliances,4,1911.95,4/3/2024 17:35,5,"Miami, FL",123,120,263,465,6,Stormy,FALSE,Monday,FALSE,451,435
806,Camera,Electronics,3,779.8,3/17/2024 15:38,8,"Dallas, TX",476,50,209,312,3,Sunny,TRUE,Wednesday,FALSE,369,258
819,Fridge,Electronics,4,963.98,5/21/2024 8:02,18,"New York, NY",212,96,284,248,9,Cloudy,FALSE,Sunday,FALSE,171,392
690,TV,Appliances,2,1555.39,5/20/2024 22:46,7,"Los Angeles, CA",248,75,199,128,4,Cloudy,TRUE,Saturday,FALSE,497,130
939,Laptop,Appliances,1,1942.61,5/22/2024 1:12,13,"Miami, FL",371,144,124,235,2,Sunny,TRUE,Sunday,TRUE,235,463
197,TV,Electronics,2,1987.95,7/13/2024 12:07,18,"Miami, FL",499,100,126,143,2,Stormy,FALSE,Saturday,FALSE,490,300
